taxon,growthForm,guild,trophicMode,confidenceRanking,n_assemblies
Diaporthe,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,23
Diaporthe aspalathi,Microfungus,Endophyte,Symbiotroph,Possible,1
Diaporthe caulivora,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Diaporthe citri,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Diaporthe eres,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Diaporthe helianthi,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Diaporthe vaccinii,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Diatrype,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Dichomitus,Corticioid-Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Dichotomocladium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Dichotomopilus,Microfungus,|Undefined Saprotroph|,Saprotroph,Possible,1
Dictyocoela,Microfungus,|Animal Parasite|,Pathotroph,Probable,2
Dictyophora,Phalloid,|Undefined Saprotroph|,Saprotroph,Probable,2
Diddensiella,Yeast,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,3
Didymella,Microfungus,Animal Pathogen-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,11
Didymobotryum,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Didymosphaeria,Microfungus,Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,2
Dimargaris,Microfungus,Dung Saprotroph-|Fungal Parasite|,Pathotroph-Saprotroph,Probable,3
Dinochytrium kinnereticum,Thallus,Protistan Parasite,Pathotroph,Highly Probable,1
Dioszegia,Yeast,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,3
Diplocarpon,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Diplocarpon mali,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Diplocarpon rosae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Diplodia,Microfungus,Epiphyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,5
Diplodia mutila,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Diplogelasinospora,Microfungus,Plant Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Diploschistes,Thallus,Lichen Parasite-|Lichenized|,Pathotroph-Symbiotroph,Highly Probable,1
Dipodascopsis,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Dipodascus,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,14
Dipsacomyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Dirinaria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Discina,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Dispira,Microfungus,Dung Saprotroph-|Fungal Parasite|,Pathotroph-Saprotroph,Probable,2
Dissoconium,Microfungus,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Dissophora,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Diutina,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,10
Diversispora,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Dothichiza,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Dothidotthia,Microfungus,Endophyte-|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Dothiorella,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Dothistroma,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Drechmeria,Microfungus,|Animal Parasite|-Endophyte-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Drechslera avenae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Drechslerella,Microfungus,|Animal Parasite|-Nematophagous-Wood Saprotroph,Pathotroph-Saprotroph,Probable,2
Drechslerella coelobrocha,Microfungus,Nematophagous,Saprotroph,Highly Probable,1
Drepanopeziza,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Dryadomyces,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,3
Durotheca,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Earliella,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Echinosphaeria,Microfungus,Endophyte-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph-Symbiotroph,Probable,1
Echria,Microfungus,|Dung Saprotroph|-Wood Saprotroph,Saprotroph,Possible,1
Edhazardia,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Elaphomyces,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Elasticomyces,Microfungus,|Lichen Parasite|,Pathotroph,Highly Probable,1
Elsinoe,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,3
Elsinoe ampelina,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Elsinoe australis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Elsinoe batatas,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Elsinoe fawcettii,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Emergomyces,Dimorphic,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,3
Emericellopsis,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,3
Emmonsia,Dimorphic-Microfungus,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Emmonsiellopsis,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Emydomyces,NULL,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Encephalitozoon,Microfungus,|Animal Parasite|,Pathotroph,Probable,4
Endocalyx,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Endocarpon,Microfungus-Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Endoconidiophora,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,2
Endocronartium harknessii,NULL,Plant Pathogen,Pathotroph,Probable,1
Endogone,Gasteroid-Microfungus,Ectomycorrhizal-Endophyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Endothia,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Enterocytospora,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Enteropsectra,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Enterospora,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Entoloma clypeatum,Agaricoid,Ectomycorrhizal,Pathotroph-Symbiotroph,Probable,1
Entomophthora muscae,NULL,Animal Pathogen,Pathotroph,Probable,1
Entonaema,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Entophlyctis,Chytrid-Microfungus,Algal Parasite-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,3
Entrophospora,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Epichloe,Microfungus,Clavicipitaceous |Endophyte|-Plant Pathogen-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,17
Epichloe typhina,NULL,Plant Pathogen,Pathotroph,Probable,1
Epicoccum,Microfungus,Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,3
Epicoccum nigrum,Microfungus,Endophyte-Lichen Parasite-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Epithele,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Eremomyces,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Eremothecium,Yeast,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,4
Eremothecium cymbalariae,NULL,Plant Pathogen,Pathotroph,Probable,1
Erysiphe,Microfungus,|Plant Pathogen|,Pathotroph,Probable,3
Erysiphe pisi,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Erythrobasidium,Yeast,|Fungal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Possible,2
Escovopsis,Microfungus,|Fungal Parasite|,Pathotroph,Probable,6
Esteya,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Eutypa lata,NULL,Plant Pathogen,Pathotroph,Probable,1
Eutypella,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Evernia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Exidia,Tremelloid,Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Exobasidium,Leaf Gall-Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Exophiala,Dimorphic-Facultative Yeast,|Animal Parasite|-Animal Pathogen-Endophyte-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,12
Exophiala alcalophila,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Exophiala aquamarina,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Exophiala dermatitidis,Facultative Yeast,Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Exophiala spinifera,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Exophiala xenobiotica,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Exserohilum rostratum,NULL,Plant Pathogen,Pathotroph,Probable,1
Exserohilum turcicum,NULL,Plant Pathogen,Pathotroph,Probable,1
Exsudoporus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,2
Extremus,Microfungus,|Undefined Saprotroph|,Saprotroph,Possible,1
Exutisphaerella,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Falciphora,Microfungus,|Endophyte|,Symbiotroph,Probable,1
Farysia,Dimorphic-Facultative Yeast-Smut,Epiphyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Probable,2
Favolaschia,Agaricoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Fennellomyces,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Fereydounia,Dimorphic,|Plant Saprotroph|,Saprotroph,Probable,1
Fibroporia,Corticioid,|Wood Saprotroph|,Saprotroph,Probable,1
Fibularhizoctonia,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Filobasidium,Dimorphic-Facultative Yeast,|Undefined Saprotroph|,Saprotroph,Highly Probable,4
Filobasidium uniguttulatum,NULL,Animal Pathogen,Pathotroph,Probable,1
Filosporella,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Fimicolochytrium,Chytrid-Microfungus,Algal Parasite-Plant Pathogen-|Pollen Saprotroph|,Pathotroph-Saprotroph,Probable,1
Fistulina,Polyporoid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Fistulinella,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Probable,3
Flagelloscypha,Cyphelloid,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph,Probable,1
Flammula,Agaricoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Flammulina,Agaricoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Flammulina velutipes,Agaricoid,Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Flavodon,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Flavoplaca,Thallus,|Lichenized|,Symbiotroph,Probable,1
Floccularia,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,1
Fomes,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,1
Fomitiporia mediterranea,NULL,Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Fomitopsis,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,5
Fomitopsis pinicola,Polyporoid,Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Fonsecaea,Dimorphic-Dimorphic Yeast,Animal Pathogen-Plant Saprotroph-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Fonsecaea erecta,NULL,Animal Pathogen,Pathotroph,Probable,1
Fonsecaea monophora,NULL,Animal Pathogen,Pathotroph,Probable,1
Fonsecaea multimorphosa,NULL,Animal Pathogen,Pathotroph,Probable,1
Fonsecaea nubica,NULL,Animal Pathogen,Pathotroph,Probable,1
Fonsecaea pedrosoi,Dimorphic Yeast,Animal Pathogen-Soil Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Fragosphaeria,Microfungus,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Friedmanniomyces,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,2
Fulvia fulva,NULL,Plant Pathogen,Pathotroph,Probable,1
Funneliformis,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,3
Furcasterigmium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Furculomyces,Microfungus,|Animal Symbiotroph|,Symbiotroph,Probable,1
Fusarium,Microfungus,Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,214
Fusarium acuminatum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium anthophilum,Microfungus,Animal Pathogen-Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium avenaceum,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium bulbicola,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium chlamydosporum,Microfungus,Endophyte-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Fusarium culmorum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium decemcellulare,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium dimerum,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Fusarium equiseti,Microfungus,Endophyte-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Fusarium falciforme,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Fusarium graminearum,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Fusarium heterosporum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium incarnatum,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium keratoplasticum,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Fusarium lateritium,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium napiforme,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Fusarium nygamai,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Fusarium oxysporum,Microfungus,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Fusarium poae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium proliferatum,Microfungus,Animal Pathogen-Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium pseudograminearum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium redolens,Microfungus,Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Fusarium sacchari,Microfungus,Animal Pathogen-Plant Pathogen,Pathotroph,Probable,1
Fusarium sambucinum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium scirpi,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium solani,Microfungus,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Fusarium sporotrichioides,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Fusarium stilboides,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium subglutinans,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium torulosum,Microfungus,Endophyte,Symbiotroph,Possible,1
Fusarium tricinctum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium udum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Fusarium verticillioides,Microfungus,Animal Pathogen-Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Gaertneriomyces,Chytrid-Microfungus,Algal Parasite-Plant Pathogen-|Pollen Saprotroph|,Pathotroph-Saprotroph,Probable,2
Gaeumannomyces,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Galactomyces,Yeast,Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,2
Galerina marginata,Agaricoid,Undefined Saprotroph,Saprotroph,Probable,1
Galerina sulciceps,Agaricoid,Undefined Saprotroph,Saprotroph,Probable,1
Gamarada,Microfungus,|Endophyte|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,1
Gamsiella,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Ganoderma,Polyporoid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,10
Gastroboletus,Gasteroid-Secotioid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Gautieria,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Gelatoporia,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Geoglossum,Clavarioid-Spathuloid,|Undefined Saprotroph|-Undefined Symbiotroph,Saprotroph-Symbiotroph,Probable,4
Geopyxis,Microfungus,Ectomycorrhizal-Plant Saprotroph-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Possible,1
Geosiphon pyriformis,NULL,Lichenized,Symbiotroph,Highly Probable,1
Geosmithia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,3
Geotrichum,Microfungus,Animal Pathogen-Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,4
Geotrichum bryndzae,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Geotrichum candidum,Microfungus,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Geranomyces,Chytrid-Microfungus,|Pollen Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,2
Gigaspora,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Gilbertella persicaria,NULL,Plant Pathogen,Pathotroph,Probable,1
Glaciozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Glarea,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Gliomastix,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Globomyces,Chytrid-Microfungus,|Pollen Saprotroph|,Saprotroph,Probable,2
Gloeopeniophorella,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Gloeophyllum,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Gloeostereum,Corticioid,|Wood Saprotroph|,Saprotroph,Probable,1
Glomus,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,1
Glonium,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Glutinoglossum,Clavarioid-Spathuloid,|Undefined Saprotroph|-Undefined Symbiotroph,Saprotroph-Symbiotroph,Probable,1
Gnomoniopsis,Microfungus,|Endophyte|-Plant Saprotroph,Saprotroph-Symbiotroph,Probable,3
Goffeauzyma,Yeast,Plant Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Golovinomyces,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Gomphillus,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Gomphus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Gonapodya,Chytrid-Microfungus,|Plant Saprotroph|,Saprotroph,Probable,2
Gongronella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Gorgonomyces,Chytrid-Microfungus,|Pollen Saprotroph|,Saprotroph,Probable,1
Grammothele,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Graphilbum,Microfungus,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,3
Graphiopsis,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Graphium,Microfungus,Animal Pathogen-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Gremmenia infestans,NULL,Plant Pathogen,Pathotroph,Highly Probable,1
Grifola frondosa,NULL,Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Groenewaldozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,4
Grosmannia,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,3
Guyanagaster,Gasteroid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Guyanaporus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Gyalolechia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Gymnopilus,Agaricoid,Plant Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Gymnopus,Agaricoid,|Plant Saprotroph|,Saprotroph,Probable,1
Gyrodon,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Gyromitra,Macrofungus-Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,31
Gyromitra californica,Macrofungus,Undefined Saprotroph,Saprotroph,Probable,1
Gyromitra esculenta,Macrofungus,Undefined Saprotroph,Saprotroph,Probable,1
Hagleromyces,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Halenospora,Microfungus,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Halteromyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Hamigera,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Hamiltosporidium,Microfungus,|Animal Parasite|,Pathotroph,Probable,2
Hanseniaspora,Yeast,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,21
Hanseniaspora uvarum,NULL,Animal Pathogen,Pathotroph,Probable,1
Hansfordia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Haplographium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Haplosporangium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,5
Hapsidospora,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Harrya,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Hawksworthiomyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Hebeloma,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Heimioporus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,3
Helicocarpus,Dimorphic,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Helicostylum,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Heliocybe,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,1
Helminthosporium solani,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Hemileccinum,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Hemileia vastatrix,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Hepatospora,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Hericium,Hydnoid-Polyporoid,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Pathotroph-Saprotroph,Probable,3
Hericium coralloides,Hydnoid,Plant Pathogen,Pathotroph,Probable,1
Hermanssonia,Corticioid,|Wood Saprotroph|,Saprotroph,Probable,1
Herpomyces,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Herpotrichiellaceae,Facultative Yeast-Microfungus,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Hesseltinella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Heterobasidion,Polyporoid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,4
Heterodermia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Hirschioporus,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Hirsutella,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Hirsutella rhossiliensis,NULL,Endophyte,Symbiotroph,Highly Probable,1
Histoplasma,Dimorphic-Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Histoplasma capsulatum,NULL,Animal Pathogen-Dung Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Hohenbuehelia,Agaricoid,Nematophagous-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Holtermannia,Dimorphic,|Animal Parasite|-Fungal Parasite,Pathotroph,Probable,1
Holtermanniella,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,1
Homolaphlyctis,Chytrid-Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Hortaea,Facultative Yeast,|Animal Parasite|-Plant Pathogen,Pathotroph,Probable,1
Hortaea werneckii,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Hortiboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,2
Huntiella,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,8
Hyaloraphidium curvatum,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Hyaloscypha,Microfungus,Ectomycorrhizal-Ericoid Mycorrhizal-Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,5
Hydnomerulius,Corticioid,|Wood Saprotroph|,Saprotroph,Probable,1
Hydnotrya,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,8
Hydnum,Agaricoid-Hydnoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Hygrocybe,Agaricoid,|Undefined Saprotroph|-Undefined Symbiotroph,Saprotroph-Symbiotroph,Probable,3
Hygrophoropsis aurantiaca,Agaricoid,Wood Saprotroph,Saprotroph,Probable,1
Hygrophorus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Hymenochaete,Corticioid-Polyporoid,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Hymenopellis,Agaricoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,3
