q	s	pident	length	qlen	slen	qstart	qend	sstart	send	evalue	bits	qcov	scov	q_label	s_label	q_locus	s_locus
B3491|C53B4A4_001549-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	23.2	794	1273	1608	131	883	74	782	4.8e-32	128.0	0.592	0.441	H048	H047	L001	L006
TX8|C5FF6CA_008304-T1	GT-147|C9481DC_005228-T1	24.3	786	983	1038	128	887	45	769	2.64e-32	128.0	0.773	0.698	H085	H041	L001	L005
TX8|C5FF6CA_008304-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	24.4	787	983	1575	128	887	45	769	3.66e-32	128.0	0.773	0.46	H085	H052	L001	L005
B12527|C750C60_003353-T1	UTAH_23742X6|CAC50EA_001516-T1	24.8	573	1595	1363	452	988	336	879	1.87e-31	127.0	0.337	0.399	H060	H026	L001	L004
UTAH_23742X205|CB0BD29_008619-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	23.2	794	1014	898	131	883	74	782	5.330000000000001e-32	127.0	0.743	0.79	H067	H065	L001	L006
GT-147|C9481DC_005228-T1	B16531|C0BF1BA_007130-T1	24.3	782	1038	1371	45	765	128	883	5.01e-32	127.0	0.695	0.551	H041	H068	L005	L001
B3491|C53B4A4_001549-T1	B3301|C251A4F_003646-T1	26.3	457	1273	844	452	883	336	766	9.710000000000001e-32	126.0	0.339	0.511	H048	H027	L001	L004
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	B3301|C251A4F_003646-T1	26.5	457	983	844	452	883	336	766	5.93e-32	126.0	0.439	0.511	H083	H027	L001	L004
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	UTAH_23742X6|CAC50EA_001516-T1	26.5	457	983	1363	452	883	336	766	1e-31	126.0	0.439	0.316	H083	H026	L001	L004
UTAH_23742X205|CB0BD29_008619-T1	B3301|C251A4F_003646-T1	26.3	457	1014	844	452	883	336	766	6.33e-32	126.0	0.426	0.511	H067	H027	L001	L004
UTAH_23742X205|CB0BD29_008619-T1	UTAH_23742X6|CAC50EA_001516-T1	26.3	457	1014	1363	452	883	336	766	1.0800000000000001e-31	126.0	0.426	0.316	H067	H026	L001	L004
UTAH_23742X205|CB0BD29_008619-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	23.2	794	1014	1608	131	883	74	782	1.18e-31	126.0	0.743	0.441	H067	H047	L001	L006
B3491|C53B4A4_001549-T1	UTAH_23742X6|CAC50EA_001516-T1	26.3	457	1273	1363	452	883	336	766	1.69e-31	126.0	0.339	0.316	H048	H026	L001	L004
5SD|CCCC1E1_001065-T1	Phoenix_1|CDD70D4_008045-T1	37.9	195	797	196	57	249	1	190	1.4300000000000002e-35	126.0	0.242	0.969	H028	H039	L008	L001
B3301|C251A4F_003646-T1	GT-111|C5A2EA4_002972-T1	29.3	457	844	934	344	777	329	760	4.78e-32	126.0	0.514	0.463	H027	H046	L004	L010
Phoenix_2|CE7BF4E_002155-T1	UTAH_23742X6|CAC50EA_001516-T1	24.6	573	764	1363	106	642	336	879	6.43e-32	126.0	0.703	0.399	H066	H026	L001	L004
UTAH_23742X6|CAC50EA_001516-T1	GT-111|C5A2EA4_002972-T1	29.3	457	1363	934	344	777	329	760	1.2900000000000001e-31	126.0	0.318	0.463	H026	H046	L004	L010
B12527|C750C60_003353-T1	B3301|C251A4F_003646-T1	26.5	457	1595	844	452	883	336	766	1.39e-31	126.0	0.271	0.511	H060	H027	L001	L004
B16531|C0BF1BA_007130-T1	UTAH_23742X6|CAC50EA_001516-T1	26.3	457	1371	1363	452	883	336	766	3.3000000000000004e-31	125.0	0.315	0.316	H068	H026	L001	L004
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	B3301|C251A4F_003646-T1	26.0	457	983	844	452	883	336	766	1.8e-31	125.0	0.439	0.511	H084	H027	L020	L004
COCSP_8725|CCC6481_008432-T1	UTAH_23742X6|CAC50EA_001516-T1	26.3	457	1012	1363	452	883	336	766	1.8500000000000001e-31	125.0	0.427	0.316	H061	H026	L001	L004
B16531|C0BF1BA_007130-T1	B3301|C251A4F_003646-T1	26.3	457	1371	844	452	883	336	766	1.91e-31	125.0	0.315	0.511	H068	H027	L001	L004
COCSP_8725|CCC6481_008432-T1	B3301|C251A4F_003646-T1	26.3	457	1012	844	452	883	336	766	1.1e-31	125.0	0.427	0.511	H061	H027	L001	L004
Phoenix_2|CE7BF4E_002155-T1	B3301|C251A4F_003646-T1	26.3	457	764	844	106	537	336	766	5.38e-32	125.0	0.565	0.511	H066	H027	L001	L004
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	UTAH_23742X6|CAC50EA_001516-T1	26.0	457	983	1363	452	883	336	766	2.99e-31	125.0	0.439	0.316	H084	H026	L020	L004
TX8|C5FF6CA_008304-T1	UTAH_23742X6|CAC50EA_001516-T1	26.3	457	983	1363	452	883	336	766	1.73e-31	125.0	0.439	0.316	H085	H026	L001	L004
TX8|C5FF6CA_008304-T1	B3301|C251A4F_003646-T1	26.3	457	983	844	452	883	336	766	1.03e-31	125.0	0.439	0.511	H085	H027	L001	L004
B16531|C0BF1BA_007130-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	24.3	787	1371	1575	128	887	45	769	4.74e-31	125.0	0.554	0.46	H068	H052	L001	L005
B16531|C0BF1BA_007130-T1	GT-147|C9481DC_005228-T1	24.2	786	1371	1038	128	887	45	769	3.4100000000000004e-31	125.0	0.554	0.698	H068	H041	L001	L005
B3440|C2CD592_003898-T1	B3301|C251A4F_003646-T1	26.0	457	1687	844	452	883	336	766	5.98e-31	124.0	0.256	0.511	H053	H027	L001	L004
UTAH_23742X260|CC29979_006058-T1	B11035|C5FC1D8_000225-T1	98.3	59	89	149	31	89	91	149	1.1199999999999999e-40	124.0	0.663	0.396	H086	H056	L002	L002
CA2|CD8B963_008471-T1	B3301|C251A4F_003646-T1	26.9	428	548	844	2	409	365	766	3.8100000000000005e-32	124.0	0.745	0.476	H070	H027	L001	L004
B11002|C5E4193_001102-T1	GT-111|C5A2EA4_002972-T1	29.1	457	581	934	81	514	329	760	5.820000000000001e-32	124.0	0.747	0.463	H074	H046	L004	L010
B3440|C2CD592_003898-T1	UTAH_23742X6|CAC50EA_001516-T1	26.0	457	1687	1363	452	883	336	766	1.0299999999999999e-30	124.0	0.256	0.316	H053	H026	L001	L004
CA2|CD8B963_008471-T1	UTAH_23742X6|CAC50EA_001516-T1	26.9	428	548	1363	2	409	365	766	5.200000000000001e-32	124.0	0.745	0.295	H070	H026	L001	L004
B11035|C5FC1D8_000225-T1	UTAH_23742X260|CC29979_006058-T1	98.3	59	149	89	91	149	31	89	1.87e-40	124.0	0.396	0.663	H056	H086	L002	L002
B3491|C53B4A4_001549-T1	B11002|C5E4193_001102-T1	26.0	457	1273	581	452	883	73	503	3.6900000000000004e-31	123.0	0.339	0.742	H048	H074	L001	L004
UTAH_23742X205|CB0BD29_008619-T1	B11002|C5E4193_001102-T1	26.0	457	1014	581	452	883	73	503	2.56e-31	123.0	0.426	0.742	H067	H074	L001	L004
UTAH_23742X6|CAC50EA_001516-T1	B12527|C750C60_003353-T1	25.8	484	1363	1595	336	790	452	910	4.13e-30	122.0	0.334	0.288	H026	H060	L004	L001
B3301|C251A4F_003646-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	25.8	484	844	983	336	790	452	910	1.07e-30	122.0	0.539	0.467	H027	H083	L004	L001
B3301|C251A4F_003646-T1	UTAH_23742X205|CB0BD29_008619-T1	25.6	484	844	1014	336	790	452	910	8.390000000000001e-31	122.0	0.539	0.453	H027	H067	L004	L001
Phoenix_2|CE7BF4E_002155-T1	B11002|C5E4193_001102-T1	25.8	457	764	581	106	537	73	503	3.4400000000000004e-31	122.0	0.565	0.742	H066	H074	L001	L004
UTAH_23742X6|CAC50EA_001516-T1	B3491|C53B4A4_001549-T1	26.0	462	1363	1273	336	771	452	888	3.5999999999999996e-30	122.0	0.32	0.343	H026	H048	L004	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	409B-0_L_OLD_CPA0011|C90261E_007970-T1	43.1	144	188	1090	16	159	376	517	6.29e-35	122.0	0.766	0.13	H043	H025	L001	L008
COCSP_8725|CCC6481_008432-T1	B11002|C5E4193_001102-T1	25.8	457	1012	581	452	883	73	503	6.02e-31	122.0	0.427	0.742	H061	H074	L001	L004
B3301|C251A4F_003646-T1	B12527|C750C60_003353-T1	25.8	484	844	1595	336	790	452	910	1.52e-30	122.0	0.539	0.288	H027	H060	L004	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	B11002|C5E4193_001102-T1	26.0	457	983	581	452	883	73	503	3.23e-31	122.0	0.439	0.742	H083	H074	L001	L004
B12527|C750C60_003353-T1	B11002|C5E4193_001102-T1	26.0	457	1595	581	452	883	73	503	6.79e-31	122.0	0.271	0.742	H060	H074	L001	L004
UTAH_23742X6|CAC50EA_001516-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	25.8	484	1363	983	336	790	452	910	2.8199999999999997e-30	122.0	0.334	0.467	H026	H083	L004	L001
UTAH_23742X6|CAC50EA_001516-T1	UTAH_23742X205|CB0BD29_008619-T1	25.6	484	1363	1014	336	790	452	910	2.22e-30	122.0	0.334	0.453	H026	H067	L004	L001
B3301|C251A4F_003646-T1	B3491|C53B4A4_001549-T1	26.0	462	844	1273	336	771	452	888	1.34e-30	122.0	0.517	0.343	H027	H048	L004	L001
B16531|C0BF1BA_007130-T1	B11002|C5E4193_001102-T1	25.8	457	1371	581	452	883	73	503	9.72e-31	122.0	0.315	0.742	H068	H074	L001	L004
TX8|C5FF6CA_008304-T1	B11002|C5E4193_001102-T1	25.8	457	983	581	452	883	73	503	5.7200000000000005e-31	122.0	0.439	0.742	H085	H074	L001	L004
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	B11002|C5E4193_001102-T1	25.8	457	983	581	452	883	73	503	7.6200000000000005e-31	121.0	0.439	0.742	H084	H074	L020	L004
B3301|C251A4F_003646-T1	TX8|C5FF6CA_008304-T1	26.0	462	844	983	336	771	452	888	2.45e-30	121.0	0.517	0.445	H027	H085	L004	L001
UTAH_23742X6|CAC50EA_001516-T1	B16531|C0BF1BA_007130-T1	26.0	462	1363	1371	336	771	452	888	8.55e-30	121.0	0.32	0.319	H026	H068	L004	L001
409B-0_L_OLD_CPA0011|C90261E_007970-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	43.1	144	1090	188	376	517	16	159	9.21e-34	121.0	0.13	0.766	H025	H043	L008	L001
UTAH_23742X6|CAC50EA_001516-T1	TX8|C5FF6CA_008304-T1	26.0	462	1363	983	336	771	452	888	6.39e-30	121.0	0.32	0.445	H026	H085	L004	L001
B3301|C251A4F_003646-T1	B16531|C0BF1BA_007130-T1	26.0	462	844	1371	336	771	452	888	3.1999999999999996e-30	121.0	0.517	0.319	H027	H068	L004	L001
B3301|C251A4F_003646-T1	COCSP_8725|CCC6481_008432-T1	26.0	462	844	1012	336	771	452	888	2.53e-30	121.0	0.517	0.432	H027	H061	L004	L001
UTAH_23742X6|CAC50EA_001516-T1	Phoenix_2|CE7BF4E_002155-T1	25.6	484	1363	764	336	790	106	564	3.1999999999999996e-30	121.0	0.334	0.601	H026	H066	L004	L001
B3301|C251A4F_003646-T1	Phoenix_2|CE7BF4E_002155-T1	25.6	484	844	764	336	790	106	564	1.29e-30	121.0	0.539	0.601	H027	H066	L004	L001
B3440|C2CD592_003898-T1	B11002|C5E4193_001102-T1	25.8	457	1687	581	452	883	73	503	2.3e-30	121.0	0.256	0.742	H053	H074	L001	L004
UTAH_23742X6|CAC50EA_001516-T1	COCSP_8725|CCC6481_008432-T1	26.0	462	1363	1012	336	771	452	888	6.61e-30	121.0	0.32	0.432	H026	H061	L004	L001
B3301|C251A4F_003646-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	25.8	462	844	983	336	771	452	888	3.24e-30	120.0	0.517	0.445	H027	H084	L004	L020
B3301|C251A4F_003646-T1	CA2|CD8B963_008471-T1	26.3	453	844	548	367	790	4	436	7.880000000000001e-31	120.0	0.502	0.79	H027	H070	L004	L001
B15142|CE5AC85_003480-T1	B3269|C180A32_006926-T1	27.2	357	768	1177	409	763	4	344	2.89e-30	120.0	0.462	0.29	H075	H059	L006	L005
UTAH_23742X6|CAC50EA_001516-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	25.8	462	1363	983	336	771	452	888	8.399999999999999e-30	120.0	0.32	0.445	H026	H084	L004	L020
B3269|C180A32_006926-T1	B15142|CE5AC85_003480-T1	26.5	359	1177	768	4	344	409	763	5.85e-30	120.0	0.29	0.462	H059	H075	L005	L006
B3301|C251A4F_003646-T1	B3440|C2CD592_003898-T1	25.8	462	844	1687	336	771	452	888	6.1399999999999995e-30	120.0	0.517	0.259	H027	H053	L004	L001
CA2|CD8B963_008471-T1	B11002|C5E4193_001102-T1	26.6	428	548	581	2	409	102	503	2.5500000000000003e-31	120.0	0.745	0.692	H070	H074	L001	L004
UTAH_23742X6|CAC50EA_001516-T1	B3440|C2CD592_003898-T1	25.8	462	1363	1687	336	771	452	888	1.64e-29	120.0	0.32	0.259	H026	H053	L004	L001
UTAH_23742X6|CAC50EA_001516-T1	CA2|CD8B963_008471-T1	26.3	453	1363	548	367	790	4	436	1.73e-30	120.0	0.311	0.79	H026	H070	L004	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	5SD|CCCC1E1_001065-T1	41.0	144	188	797	16	159	34	175	1.3100000000000001e-33	119.0	0.766	0.178	H043	H028	L001	L008
407-0_S_OLD_CPA0002|C577643_002522-T1	CA7|CFA4D20_007665-T1	23.5	671	898	798	80	681	142	787	1.1300000000000001e-29	119.0	0.67	0.81	H065	H078	L006	L001
B11002|C5E4193_001102-T1	UTAH_23742X205|CB0BD29_008619-T1	25.4	484	581	1014	73	527	452	910	2.5599999999999998e-30	119.0	0.783	0.453	H074	H067	L004	L001
B11002|C5E4193_001102-T1	B3491|C53B4A4_001549-T1	25.8	462	581	1273	73	508	452	888	3.8999999999999996e-30	119.0	0.75	0.343	H074	H048	L004	L001
578-1_L_NEW_CPA0049|C79DB71_006976-T1	CA7|CFA4D20_007665-T1	23.5	671	1608	798	80	681	142	787	4.1000000000000003e-29	118.0	0.374	0.81	H047	H078	L006	L001
5SD|CCCC1E1_003646-T1	SDVA42|C8631F9_001720-T1	100.0	56	105	257	50	105	1	56	9.500000000000001e-37	118.0	0.533	0.218	H055	H064	L002	L002
CA23|C477594_005344-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	22.6	782	1580	983	62	771	141	883	7.14e-29	118.0	0.449	0.756	H054	H084	L005	L020
B11035|C5FC1D8_000225-T1	SDVA42|C8631F9_001720-T1	100.0	56	149	257	94	149	1	56	4.89e-36	118.0	0.376	0.218	H056	H064	L002	L002
B11035|C5FC1D8_000225-T1	IL1|C81A900_003260-T1	100.0	56	149	102	94	149	1	56	7.369999999999999e-38	118.0	0.376	0.549	H056	H080	L002	L002
B11035|C5FC1D8_000225-T1	Michoacan_1|C0F72A3_003139-T1	100.0	56	149	676	94	149	1	56	4.25e-34	118.0	0.376	0.083	H056	H058	L002	L002
5SD|CCCC1E1_003646-T1	IL1|C81A900_003260-T1	100.0	56	105	102	50	105	1	56	1.43e-38	118.0	0.533	0.549	H055	H080	L002	L002
5SD|CCCC1E1_003646-T1	Michoacan_1|C0F72A3_003139-T1	100.0	56	105	676	50	105	1	56	8.120000000000001e-35	118.0	0.533	0.083	H055	H058	L002	L002
B11002|C5E4193_001102-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	25.4	484	581	983	73	527	452	910	4.4199999999999995e-30	118.0	0.783	0.467	H074	H083	L004	L001
UTAH_23742X260|CC29979_006058-T1	Michoacan_1|C0F72A3_003139-T1	100.0	56	89	676	34	89	1	56	4.28e-35	118.0	0.629	0.083	H086	H058	L002	L002
B11002|C5E4193_001102-T1	B12527|C750C60_003353-T1	25.4	484	581	1595	73	527	452	910	5.7e-30	118.0	0.783	0.288	H074	H060	L004	L001
UTAH_23742X260|CC29979_006058-T1	IL1|C81A900_003260-T1	100.0	56	89	102	34	89	1	56	7.61e-39	118.0	0.629	0.549	H086	H080	L002	L002
UTAH_23742X260|CC29979_006058-T1	SDVA42|C8631F9_001720-T1	100.0	56	89	257	34	89	1	56	5.0400000000000005e-37	118.0	0.629	0.218	H086	H064	L002	L002
B11002|C5E4193_001102-T1	Phoenix_2|CE7BF4E_002155-T1	25.2	484	581	764	73	527	106	564	6.13e-30	117.0	0.783	0.601	H074	H066	L004	L001
Michoacan_1|C0F72A3_003139-T1	B11035|C5FC1D8_000225-T1	100.0	56	676	149	1	56	94	149	4.9200000000000004e-33	117.0	0.083	0.376	H058	H056	L002	L002
CA23|C477594_005344-T1	B3440|C2CD592_003898-T1	22.6	782	1580	1687	62	771	141	883	1.38e-28	117.0	0.449	0.44	H054	H053	L005	L001
SDVA42|C8631F9_001720-T1	UTAH_23742X260|CC29979_006058-T1	100.0	56	257	89	1	56	34	89	4.0900000000000004e-36	117.0	0.218	0.629	H064	H086	L002	L002
SDVA42|C8631F9_001720-T1	5SD|CCCC1E1_003646-T1	100.0	56	257	105	1	56	50	105	6.53e-36	117.0	0.218	0.533	H064	H055	L002	L002
SDVA42|C8631F9_001720-T1	B11035|C5FC1D8_000225-T1	100.0	56	257	149	1	56	94	149	2.36e-35	117.0	0.218	0.376	H064	H056	L002	L002
B11002|C5E4193_001102-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	25.5	462	581	983	73	508	452	888	1.0400000000000001e-29	117.0	0.75	0.445	H074	H084	L004	L020
B11002|C5E4193_001102-T1	TX8|C5FF6CA_008304-T1	25.5	462	581	983	73	508	452	888	1.0400000000000001e-29	117.0	0.75	0.445	H074	H085	L004	L001
IL1|C81A900_003260-T1	5SD|CCCC1E1_003646-T1	100.0	56	102	105	1	56	50	105	3.9899999999999996e-38	117.0	0.549	0.533	H080	H055	L002	L002
B11002|C5E4193_001102-T1	CA2|CD8B963_008471-T1	26.0	453	581	548	104	527	4	436	3.81e-30	117.0	0.73	0.79	H074	H070	L004	L001
IL1|C81A900_003260-T1	UTAH_23742X260|CC29979_006058-T1	100.0	56	102	89	1	56	34	89	2.5e-38	117.0	0.549	0.629	H080	H086	L002	L002
Michoacan_1|C0F72A3_003139-T1	5SD|CCCC1E1_003646-T1	100.0	56	676	105	1	56	50	105	1.34e-33	117.0	0.083	0.533	H058	H055	L002	L002
Michoacan_1|C0F72A3_003139-T1	UTAH_23742X260|CC29979_006058-T1	100.0	56	676	89	1	56	34	89	8.329999999999999e-34	117.0	0.083	0.629	H058	H086	L002	L002
IL1|C81A900_003260-T1	B11035|C5FC1D8_000225-T1	100.0	56	102	149	1	56	94	149	1.44e-37	117.0	0.549	0.376	H080	H056	L002	L002
B11002|C5E4193_001102-T1	B3440|C2CD592_003898-T1	25.5	462	581	1687	73	508	452	888	1.8100000000000002e-29	117.0	0.75	0.259	H074	H053	L004	L001
B11002|C5E4193_001102-T1	B16531|C0BF1BA_007130-T1	25.5	462	581	1371	73	508	452	888	1.2600000000000001e-29	117.0	0.75	0.319	H074	H068	L004	L001
B11002|C5E4193_001102-T1	COCSP_8725|CCC6481_008432-T1	25.5	462	581	1012	73	508	452	888	1.0600000000000001e-29	117.0	0.75	0.432	H074	H061	L004	L001
CA23|C477594_005344-T1	B16531|C0BF1BA_007130-T1	22.2	784	1580	1371	62	771	141	883	1.2399999999999999e-28	117.0	0.449	0.542	H054	H068	L005	L001
5SD|CCCC1E1_001065-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	41.0	144	797	188	34	175	16	159	3.5400000000000003e-32	116.0	0.178	0.766	H028	H043	L008	L001
CA23|C477594_005344-T1	B3491|C53B4A4_001549-T1	22.3	784	1580	1273	62	771	141	883	2.66e-28	116.0	0.449	0.584	H054	H048	L005	L001
CA23|C477594_005344-T1	B12527|C750C60_003353-T1	22.2	784	1580	1595	62	771	141	883	5.19e-28	115.0	0.449	0.466	H054	H060	L005	L001
CA23|C477594_005344-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	22.2	784	1580	983	62	771	141	883	3.67e-28	115.0	0.449	0.756	H054	H083	L005	L001
CA23|C477594_005344-T1	UTAH_23742X205|CB0BD29_008619-T1	22.2	784	1580	1014	62	771	141	883	3.79e-28	115.0	0.449	0.733	H054	H067	L005	L001
CA23|C477594_005344-T1	COCSP_8725|CCC6481_008432-T1	22.1	784	1580	1012	62	771	141	883	6.52e-28	115.0	0.449	0.734	H054	H061	L005	L001
CA23|C477594_005344-T1	TX8|C5FF6CA_008304-T1	22.1	784	1580	983	62	771	141	883	6.32e-28	115.0	0.449	0.756	H054	H085	L005	L001
GT-101|C4EFBB3_002316-T1	B16531|C0BF1BA_007130-T1	21.1	793	1631	1371	106	808	142	883	1.9400000000000003e-27	114.0	0.431	0.541	H051	H068	L006	L001
578-1_L_NEW_CPA0049|C79DB71_006976-T1	UTAH_23742X6|CAC50EA_001516-T1	25.6	422	1608	1363	334	735	327	733	1.1000000000000001e-27	114.0	0.25	0.299	H047	H026	L006	L004
GT-101|C4EFBB3_002316-T1	UTAH_23742X6|CAC50EA_001516-T1	24.9	433	1631	1363	355	761	321	733	1.48e-27	114.0	0.25	0.303	H051	H026	L006	L004
GT-101|C4EFBB3_002316-T1	B3491|C53B4A4_001549-T1	21.1	793	1631	1273	106	808	142	883	1.4200000000000001e-27	114.0	0.431	0.583	H051	H048	L006	L001
407-0_S_OLD_CPA0002|C577643_002522-T1	UTAH_23742X6|CAC50EA_001516-T1	25.6	422	898	1363	334	735	327	733	3.95e-28	114.0	0.448	0.299	H065	H026	L006	L004
UTAH_23742X260|CC29979_006058-T1	B11871|CA42FC6_007798-T1	94.6	56	89	394	34	89	1	56	3.5499999999999998e-34	114.0	0.629	0.142	H086	H049	L002	L002
5SD|CCCC1E1_003646-T1	GT-151|CDCC634_000369-T1	94.6	56	105	80	50	105	1	56	5.090000000000001e-37	114.0	0.533	0.7	H055	H079	L002	L002
5SD|CCCC1E1_003646-T1	B11871|CA42FC6_007798-T1	94.6	56	105	394	50	105	1	56	6.69e-34	114.0	0.533	0.142	H055	H049	L002	L002
CA7|CFA4D20_007665-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	23.3	682	798	1608	131	787	74	681	4.2e-28	114.0	0.823	0.378	H078	H047	L001	L006
UTAH_23742X260|CC29979_006058-T1	GT-151|CDCC634_000369-T1	94.6	56	89	80	34	89	1	56	2.7100000000000004e-37	114.0	0.629	0.7	H086	H079	L002	L002
B11035|C5FC1D8_000225-T1	B11871|CA42FC6_007798-T1	94.6	56	149	394	94	149	1	56	3.41e-33	114.0	0.376	0.142	H056	H049	L002	L002
407-0_S_OLD_CPA0002|C577643_002522-T1	B3301|C251A4F_003646-T1	25.6	422	898	844	334	735	327	733	2.6e-28	114.0	0.448	0.482	H065	H027	L006	L004
CA7|CFA4D20_007665-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	23.3	682	798	898	131	787	74	681	2.13e-28	114.0	0.823	0.677	H078	H065	L001	L006
578-1_L_NEW_CPA0049|C79DB71_006976-T1	B3301|C251A4F_003646-T1	25.6	422	1608	844	334	735	327	733	7.03e-28	114.0	0.25	0.482	H047	H027	L006	L004
GT-101|C4EFBB3_002316-T1	B3301|C251A4F_003646-T1	24.9	433	1631	844	355	761	321	733	9.44e-28	114.0	0.25	0.489	H051	H027	L006	L004
B11035|C5FC1D8_000225-T1	GT-151|CDCC634_000369-T1	94.6	56	149	80	94	149	1	56	2.58e-36	114.0	0.376	0.7	H056	H079	L002	L002
578-1_L_NEW_CPA0049|C79DB71_006976-T1	B11002|C5E4193_001102-T1	25.4	422	1608	581	334	735	64	470	1.97e-27	112.0	0.25	0.701	H047	H074	L006	L004
GT-101|C4EFBB3_002316-T1	B12527|C750C60_003353-T1	21.1	793	1631	1595	106	808	142	883	8.130000000000001e-27	112.0	0.431	0.465	H051	H060	L006	L001
407-0_S_OLD_CPA0002|C577643_002522-T1	B11002|C5E4193_001102-T1	25.4	422	898	581	334	735	64	470	8.0399999999999995e-28	112.0	0.448	0.701	H065	H074	L006	L004
GT-101|C4EFBB3_002316-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	20.9	793	1631	983	106	808	142	883	5.86e-27	112.0	0.431	0.755	H051	H084	L006	L020
GT-101|C4EFBB3_002316-T1	UTAH_23742X205|CB0BD29_008619-T1	21.2	793	1631	1014	106	808	142	883	4.6000000000000006e-27	112.0	0.431	0.732	H051	H067	L006	L001
GT-101|C4EFBB3_002316-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	21.1	793	1631	983	106	808	142	883	5.86e-27	112.0	0.431	0.755	H051	H083	L006	L001
GT-101|C4EFBB3_002316-T1	B3440|C2CD592_003898-T1	21.1	793	1631	1687	106	808	142	883	4.8500000000000006e-27	112.0	0.431	0.44	H051	H053	L006	L001
B11871|CA42FC6_007798-T1	UTAH_23742X260|CC29979_006058-T1	94.6	56	394	89	1	56	34	89	5.9700000000000004e-33	112.0	0.142	0.629	H049	H086	L002	L002
B11871|CA42FC6_007798-T1	5SD|CCCC1E1_003646-T1	94.6	56	394	105	1	56	50	105	9.510000000000001e-33	112.0	0.142	0.533	H049	H055	L002	L002
B11871|CA42FC6_007798-T1	B11035|C5FC1D8_000225-T1	94.6	56	394	149	1	56	94	149	3.4000000000000003e-32	112.0	0.142	0.376	H049	H056	L002	L002
GT-151|CDCC634_000369-T1	UTAH_23742X260|CC29979_006058-T1	94.6	56	80	89	1	56	34	89	9.920000000000001e-37	112.0	0.7	0.629	H079	H086	L002	L002
GT-151|CDCC634_000369-T1	5SD|CCCC1E1_003646-T1	94.6	56	80	105	1	56	50	105	1.58e-36	112.0	0.7	0.533	H079	H055	L002	L002
GT-151|CDCC634_000369-T1	B11035|C5FC1D8_000225-T1	94.6	56	80	149	1	56	94	149	5.6e-36	112.0	0.7	0.376	H079	H056	L002	L002
CA7|CFA4D20_007665-T1	UTAH_23742X6|CAC50EA_001516-T1	27.7	343	798	1363	452	776	336	665	2.6700000000000002e-27	111.0	0.407	0.242	H078	H026	L001	L004
CA7|CFA4D20_007665-T1	B3301|C251A4F_003646-T1	27.7	343	798	844	452	776	336	665	1.82e-27	111.0	0.407	0.391	H078	H027	L001	L004
GT-101|C4EFBB3_002316-T1	B11002|C5E4193_001102-T1	24.7	433	1631	581	355	761	58	470	2.6700000000000002e-27	111.0	0.25	0.711	H051	H074	L006	L004
B15142|CE5AC85_003480-T1	B3301|C251A4F_003646-T1	25.3	427	768	844	355	761	321	733	2.18e-27	111.0	0.53	0.489	H075	H027	L006	L004
GT-101|C4EFBB3_002316-T1	TX8|C5FF6CA_008304-T1	20.9	793	1631	983	106	808	142	883	1.01e-26	111.0	0.431	0.755	H051	H085	L006	L001
GT-101|C4EFBB3_002316-T1	COCSP_8725|CCC6481_008432-T1	20.9	793	1631	1012	106	808	142	883	1.04e-26	111.0	0.431	0.733	H051	H061	L006	L001
B15142|CE5AC85_003480-T1	UTAH_23742X6|CAC50EA_001516-T1	25.3	427	768	1363	355	761	321	733	3.1700000000000002e-27	111.0	0.53	0.303	H075	H026	L006	L004
UTAH_23742X6|CAC50EA_001516-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	25.6	422	1363	898	327	733	334	735	1.22e-26	110.0	0.299	0.448	H026	H065	L004	L006
